N,1m,2m,3m,4m,5m,6m,7m,8m,9m,1p,2p,3p,4p,5p,6p,7p,8p,9p,1s,2s,3s,4s,5s,6s,7s,8s,9s,東,南,西,北,白,発,中
35,1.1338,2.1508,1.6387,1.6672,1.6714,0.5817,1.6387,1.6201,1.1361,1.6387,0.5832,1.1191,1.1086,1.6648,1.6387,1.6429,1.1148,1.1286,1.6387,2.1508,1.6387,2.1508,0.5784,1.6714,1.6539,1.1411,1.6706,1.6266,0.56,1.6387,1.1419,1.1439,1.1225,1.6655
34,1.1247,2.1125,1.6177,1.6463,1.6505,0.5795,1.6177,1.5991,1.1271,1.6177,0.581,1.11,1.0995,1.1008,1.6177,1.6219,1.1057,1.1195,1.6177,2.1125,1.6177,2.1125,0.5762,1.6505,1.6329,1.1321,1.6497,1.6056,0.5578,1.6177,1.1329,1.1349,1.1135,1.6446
33,1.1149,2.0709,1.595,1.6236,1.6278,0.5771,1.595,1.5763,1.1173,1.595,0.5787,1.1002,0.5474,1.0909,1.595,1.5992,1.0959,1.1098,1.595,2.0709,1.595,2.0709,0.5738,1.6278,1.6102,1.1224,1.627,1.5828,0.5554,1.595,1.1231,1.1251,1.1037,1.6219
32,1.1044,2.0259,1.5703,1.5991,1.6033,0.5746,1.5703,1.5517,1.1067,1.5703,0.5761,1.0896,0.5448,1.0803,1.5703,1.5746,1.0852,1.0991,1.5703,2.0259,1.5703,2.0259,0.5712,1.6033,1.5856,1.1118,1.6025,1.5582,0.0,1.5703,1.1126,1.1146,1.0931,1.5973
31,1.0929,1.9773,1.5437,1.5725,1.5767,0.5718,1.5437,1.525,1.0953,1.5437,0.5733,1.0781,0.542,1.0688,1.5437,1.548,0.5398,1.0877,1.5437,1.9773,1.5437,1.9773,0.5685,1.5767,1.559,1.1004,1.5759,1.5316,0.0,1.5437,1.1011,1.1031,1.0816,1.5707
30,1.0805,1.9249,1.515,1.5438,1.548,0.5688,1.515,1.4963,1.0829,1.515,0.5704,1.0657,0.5389,1.0564,1.515,1.0195,0.5368,1.0753,1.515,1.9249,1.515,1.9249,0.5655,1.548,1.5303,1.088,1.5472,1.5028,0.0,1.515,1.0888,1.0908,1.0692,1.542
29,1.0672,1.8686,1.4841,1.0158,1.5171,0.5656,1.4841,1.4654,1.0696,1.4841,0.5672,1.0524,0.5357,1.043,1.4841,1.0061,0.5335,1.062,1.4841,1.8686,1.4841,1.8686,0.5623,1.5171,1.4994,1.0747,1.5163,1.4719,0.0,1.4841,1.0755,1.0775,1.0559,1.5111
28,1.0529,1.8083,1.4508,1.0014,1.4838,0.5622,1.4508,1.4321,1.0552,1.4508,0.5637,1.038,0.5322,1.0286,1.4508,0.9917,0.53,1.0476,1.4508,1.8083,1.4508,1.8083,0.0,1.4838,1.4661,1.0604,1.483,1.4386,0.0,1.4508,1.0612,1.0631,1.0415,1.4778
27,1.0374,1.7437,1.4151,0.9859,1.4481,0.5585,1.4151,1.3965,1.0398,1.4151,0.56,1.0225,0.5284,0.5105,1.4151,0.9762,0.5263,1.0322,1.4151,1.7437,1.4151,1.7437,0.0,1.4481,1.4304,1.0449,1.4473,1.403,0.0,1.4151,1.0457,1.0477,1.026,1.4421
26,1.0208,1.6748,1.3768,0.4889,1.4097,0.5545,1.3768,1.3583,1.0232,1.3768,0.556,1.0059,0.5244,0.5065,1.3768,0.9596,0.5222,1.0155,1.3768,1.6748,1.3768,1.6748,0.0,1.4097,1.392,1.0283,1.4089,1.3647,0.0,1.3768,1.0291,1.0311,1.0094,1.4037
